feed_id,seller_id,product_id,sku,product_name,category,brand,mrp,selling_price,inventory,currency,seller_status,last_updated
F0004961,S0100,P001927,S0100-P001927,Vertex Cricket Bat,Sports,Vertex,5857.43,4799.31,36.0,INR,inactive,2026-09-08 00:00:00
F0002089,S0090,P000065,S0090-P000065,Nova Yoga Mat,Sports,Nova,18818.76,13020.88,33.0,INR,active,2026-08-11 00:00:00
F0000397,S0073,P003542,S0073-P003542,Vertex Dumbbells,Sports,Vertex,16927.5,11997.71,37.0,INR,active,2026-08-18 18:00:00
F0006386,S0002,P003176,S0002-P003176,Vertex Yoga Mat,Sports,Vertex,18433.04,12991.66,38.0,INR,active,2026-08-16 00:00:00
F0002620,S0098,P001498,S0098-P001498,Orion Wireless Earbuds,Electronics,Orion,17630.21,14877.77,36.0,INR,active,2026-09-01 06:00:00
F0002168,S0065,P000541,S0065-P000541,UrbanKart Perfume,Beauty,UrbanKart,6149.24,5423.61,37.0,INR,active,2026-08-13 06:00:00
F0000374,S0002,P002220,S0002-P002220,Zenith Wireless Earbuds,Electronics,Zenith,9469.45,8815.53,32.0,INR,active,2026-08-28 18:00:00
F0006299,S0091,P004417,S0091-P004417,Nova Backpack,Fashion,Nova,3318.53,2940.93,44.0,INR,active,2026-08-22 18:00:00
F0007855,S0101,P000911,S0101-P000911,Vertex Bedsheet,Home,Vertex,791.51,557.7,38.0,INR,active,2026-09-03 18:00:00
F0002393,S0038,P002997,S0038-P002997,Orion Cookbook,Books,Orion,6880.86,6525.42,40.0,INR,inactive,2026-08-21 12:00:00
F0002772,S0036,P003859,S0036-P003859,Prime USB Cable,Electronics,Prime,9992.69,7029.43,34.0,INR,active,2026-08-28 18:00:00
F0007408,S0001,P000471,S0001-P000471,Astra USB Cable,Electronics,Astra,9487.66,7290.23,36.0,INR,active,2026-08-03 00:00:00
F0010627,S0065,P001600,S0065-P001600,UrbanKart Moisturizer,Beauty,UrbanKart,18719.05,13463.45,41.0,INR,active,2026-08-04 12:00:00
F0001023,S0072,P000386,S0072-P000386,Nova Yoga Mat,Sports,Nova,3773.37,3505.6,43.0,INR,active,2026-09-09 00:00:00
F0000625,S0074,P004859,S0074-P004859,Zenith Programming Book,Books,Zenith,2164.35,1562.4,36.0,INR,active,2026-09-03 12:00:00
F0002326,S0058,P001801,S0058-P001801,Nova Programming Book,Books,Nova,18045.69,13521.56,29.0,INR,active,2026-08-19 06:00:00
F0011554,S0022,P004908,S0022-P004908,UrbanKart Wireless Earbuds,Electronics,UrbanKart,17884.49,12461.96,46.0,INR,active,2026-08-30 18:00:00
F0001283,S0034,P003063,S0034-P003063,Vertex Bluetooth Speaker,Electronics,Vertex,10048.09,8773.4,35.0,INR,active,2026-08-12 18:00:00
F0010272,S0006,P004568,S0006-P004568,Orion T-Shirt,Fashion,Orion,1467.462,2445.77,36.0,INR,active,2026-09-09 00:00:00
F0007499,S0118,P004563,S0118-P004563,Astra Cookbook,Books,Astra,14072.84,10765.07,43.0,INR,active,2026-08-16 06:00:00
F0000136,S0057,P004567,S0057-P004567,,Beauty,Astra,2531.694,4219.49,27.0,INR,active,2026-08-23 18:00:00
F0008392,S0008,P001545,S0008-P001545,Astra Power Bank,Electronics,Astra,15838.03,11797.07,38.0,INR,active,2026-08-29 06:00:00
F0001865,S0085,P003779,S0085-P003779,Zenith Football,Sports,Zenith,9562.3,7008.83,43.0,INR,active,2026-08-25 12:00:00
F0001356,S0004,P001776,S0004-P001776,Vertex Jeans,Fashion,Vertex,3654.23,2882.45,27.0,INR,active,2026-08-24 00:00:00
F0007838,S0069,P004649,S0069-P004649,Zenith Shampoo,Beauty,Zenith,3223.28,2720.25,26.0,INR,active,2026-08-09 00:00:00
F0001415,S0016,P004441,S0016-P004441,Astra Sunscreen,Beauty,Astra,3665.55,2552.71,33.0,INR,active,2026-08-22 06:00:00
F0001214,S0068,P003170,S0068-P003170,,Homee,Prime,11281.58,9260.78,36.0,INR,active,2026-08-24 00:00:00
F0001884,S0078,P002313,S0078-P002313,Astra Jacket,Fashion,Astra,4213.48,3286.03,35.0,INR,active,2026-08-21 06:00:00
F0006572,S0014,P002018,S0014-P002018,Orion Jeans,Fashion,Orion,9718.63,8021.4,23.0,INR,inactive,2026-08-23 06:00:00
F0002406,S0101,P000633,S0101-P000633,Zenith Face Wash,Beauty,Zenith,4303.49,3334.57,33.0,INR,active,2026-08-21 00:00:00
F0004113,S0088,P000673,S0088-P000673,Orion Power Bank,Electronics,Orion,8405.55,5971.09,31.0,INR,active,2026-08-18 18:00:00
F0011575,S0052,P002548,S0052-P002548,Vertex Textbook,Books,Vertex,6636.81,5199.32,29.0,INR,inactive,2026-09-03 18:00:00
F0000748,S0065,P004043,S0065-P004043,Orion Yoga Mat,Sports,Orion,17734.18,14723.94,22.0,INR,active,2026-09-05 00:00:00
F0002413,S0034,P001808,S0034-P001808,Vertex T-Shirt,Fashion,Vertex,8309.11,5804.99,32.0,INR,active,2026-08-18 06:00:00
F0011877,S0106,P004292,S0106-P004292,Prime USB Cable,Electronics,Prime,4848.7,,39.0,INR,active,2026-08-22 12:00:00
F0009026,S0067,P003205,S0067-P003205,Zenith Jacket,Fashion,Zenith,14919.82,12983.34,31.0,INR,active,2026-08-05 06:00:00
F0003985,S0042,P003571,S0042-P003571,Orion Perfume,Beauty,Orion,11522.17,10058.92,28.0,INR,active,2026-08-16 18:00:00
F0009050,S0089,P002712,S0089-P002712,Vertex Cricket Bat,Sports,Vertex,11695.5,10738.8,33.0,INR,active,2026-08-19 12:00:00
F0004169,S0066,P000344,S0066-P000344,UrbanKart Sunscreen,Beauty,UrbanKart,19547.36,15850.54,43.0,INR,inactive,2026-08-09 18:00:00
F0002228,S0034,P004143,S0034-P004143,Zenith Programming Book,Books,Zenith,2457.35,1711.34,43.0,INR,active,2026-08-16 12:00:00
F0007061,S0088,P003636,S0088-P003636,UrbanKart Storage Box,Home,UrbanKart,6382.69,4571.71,27.0,INR,active,2026-09-01 06:00:00
F0006111,S0114,P000737,S0114-P000737,Nova Bluetooth Speaker,Electronics,Nova,3455.62,2978.5,29.0,INR,active,2026-08-25 12:00:00
F0001198,S0067,P003555,S0067-P003555,Prime T-Shirt,Fashion,Prime,19720.36,13754.78,24.0,INR,active,2026-08-24 06:00:00
F0005272,S0003,P000723,S0003-P000723,Orion Novel,Books,Orion,15786.9,13696.41,34.0,INR,active,2026-09-07 18:00:00
F0010777,S0117,P002071,S0117-P002071,Astra Textbook,Books,Astra,8005.05,7363.62,40.0,INR,active,2026-09-04 18:00:00
F0001079,S0004,P000439,S0004-P000439,Astra Cricket Bat,Sports,Astra,7764.56,6020.69,36.0,INR,active,2026-09-01 00:00:00
F0000539,S0073,P004929,S0073-P004929,Prime Power Bank,Electronics,Prime,11586.5,8372.96,30.0,INR,active,2026-09-07 06:00:00
F0003520,S0054,P000715,S0054-P000715,Nova USB Cable,Electronics,Nova,4756.46,3737.48,33.0,INR,active,2026-08-25 12:00:00
F0010875,S0094,P003390,S0094-P003390,Vertex Cricket Bat,Sports,Vertex,17350.28,12805.67,45.0,INR,active,2026-08-22 06:00:00
F0005740,S0011,P000887,S0011-P000887,UrbanKart Bedsheet,Home,UrbanKart,10354.44,8406.91,44.0,INR,active,2026-09-01 00:00:00
